130797,11,11
4621,13,14
918,14,16
590,12,15
541,14,14
758,13,15
554,12,14
1180,11,13
646,12,12
3954,14,14
283,10,15
1019,12,13
275,12,12
226,12,13
338,12,13
281,11,13
268,10,12
205,11,12
231,14,15
215,13,15
234,13,16
181,11,15
208,11,13
463,14,15
201,13,16
178,10,13
192,13,13
248,12,15
239,11,13
183,12,13
368,13,14
338,11,14
193,14,14
328,12,14
248,12,13
192,12,12
193,13,14
212,13,15
284,14,14
221,13,15
173,13,14
719,11,14
221,12,13
142,9,12
170,11,11
145,12,13
283,12,15
319,13,15
187,13,15
284,13,15
213,14,15
206,11,14
195,11,14
160,12,14
259,13,14
249,10,13
213,9,10
173,12,12
226,14,16
276,13,16
138,11,13
175,11,12
200,12,13
152,10,12
177,13,13
218,11,13
205,12,13
153,12,14
143,11,12
226,11,13
224,10,12
222,11,11
151,11,13
164,12,15
155,13,15
175,11,14
514,14,14
188,12,14
165,13,13
264,13,13
180,10,13
420,13,13
152,11,14
187,10,12
183,13,13
218,11,14
195,10,11
136,12,12
124,11,14
117,10,13
131,11,12
144,11,12
179,12,13
124,14,14
173,12,14
205,14,15
313,13,17
146,13,16
116,11,14
394,13,13
157,13,15
130,11,15
104,12,13
191,10,12
119,13,13
172,12,13
144,13,14
113,12,14
168,11,13
137,16,17
161,13,17
95,11,14
124,12,13
126,12,13
151,12,14
107,13,14
127,10,14
284,11,12
632,12,13
143,10,12
175,13,13
137,11,13
157,10,12
117,12,12
244,11,13
136,11,12
191,13,13
237,13,15
122,11,13
140,13,14
129,13,14
370,11,14
111,11,12
136,13,13
150,11,13
133,13,13
127,13,14
330,12,14
131,12,13
109,12,14
92,11,12
137,12,13
468,11,14
216,13,14
128,13,15
162,14,17
143,12,14
163,12,13
178,11,12
115,13,13
139,13,13
126,11,13
145,12,13
163,14,15
145,12,14
128,10,13
119,13,14
123,11,15
133,14,15
147,13,15
109,12,15
193,9,12
155,11,11
130,12,14
132,9,12
128,13,13
111,12,13
113,12,13
127,14,14
116,15,16
154,12,15
388,12,13
170,11,12
118,13,14
111,12,14
122,12,14
210,10,13
214,8,10
132,11,11
119,12,13
105,12,14
146,12,13
137,12,14
297,12,13
124,13,14
114,11,13
185,12,12
109,13,14
159,15,16
123,12,15
130,15,15
111,13,16
110,12,14
114,13,15
113,14,16
129,11,14
122,10,11
119,11,11
112,13,13
108,12,14
122,12,13
147,11,12
112,13,14
188,13,15
142,12,14
137,12,13
151,11,13
139,10,11
157,10,11
