1,75723,7,7
2,2378,7,7
3,944,8,8
4,451,8,8
5,781,7,8
6,390,8,8
7,419,8,9
8,390,8,9
9,374,8,8
10,280,7,8
11,237,7,7
12,222,8,8
13,755,7,8
14,394,7,7
15,190,8,8
16,284,8,8
17,296,8,8
18,324,8,8
19,211,7,8
20,328,7,7
21,178,7,7
22,287,8,8
23,206,8,8
24,1990,8,8
25,718,8,8
26,205,8,8
27,424,7,8
28,231,7,7
29,370,7,7
30,209,8,8
31,278,9,9
32,227,8,9
33,179,8,9
34,192,8,8
35,303,8,9
36,374,8,9
37,190,7,8
38,162,8,8
39,208,7,8
40,214,7,7
41,149,8,8
42,162,8,8
43,525,7,8
44,197,8,8
45,190,8,9
46,279,8,8
47,177,7,8
48,201,7,7
49,304,8,8
50,238,9,9
51,211,7,9
52,242,7,7
53,159,7,7
54,160,8,8
55,173,7,8
56,159,7,7
57,160,7,7
58,268,7,7
59,188,8,8
60,236,7,8
61,221,8,8
62,354,8,8
63,195,7,8
64,188,7,7
65,212,8,8
66,153,9,9
67,1885,7,9
68,164,7,7
69,153,7,7
70,143,7,7
71,171,8,8
72,165,7,8
73,150,7,7
74,146,7,7
75,138,8,8
76,141,7,8
77,135,8,8
78,158,8,8
79,136,8,8
80,145,7,8
81,168,8,8
82,260,7,8
83,147,7,7
84,144,7,7
85,135,8,8
86,168,8,8
87,169,8,8
88,225,8,8
89,163,7,8
90,142,7,7
91,168,7,7
92,149,7,7
93,152,8,8
94,134,7,8
95,202,8,8
96,230,8,9
97,172,7,8
98,144,7,7
99,172,8,8
100,132,7,8
101,230,8,8
102,210,7,8
103,135,8,8
104,145,8,8
105,161,7,8
106,197,8,8
107,233,7,8
108,181,8,8
109,149,7,8
110,121,8,8
111,166,8,8
112,146,7,8
113,120,7,7
114,153,7,7
115,114,7,7
116,136,7,7
117,169,8,8
118,123,7,8
119,152,7,7
120,132,7,7
121,119,7,7
122,133,7,7
123,134,7,7
124,130,8,8
125,201,9,9
