1,4768
2,4912
3,5065
4,6224
5,10908
6,11391
7,29602
8,29735
9,29890
10,30019
11,30162
12,30809
13,49207
14,49338
15,49478
16,49629
17,49778
18,49922
19,51934
20,70335
21,70481
22,70624
23,70772
24,70896
25,71039
26,72820
27,77574
28,78907
29,97317
30,97472
31,97611
32,97774
33,97903
34,98020
35,100070
36,118537
37,118684
38,118821
39,118966
40,119109
41,119246
42,120908
43,139361
44,139507
45,139630
46,139773
47,139924
48,140057
49,142229
50,144893
51,149710
52,150582
53,155223
54,156850
55,161476
56,163061
57,181277
58,181409
59,181562
60,181693
61,181836
62,181989
63,184127
64,187328
65,191899
66,192795
67,211146
68,211285
69,211412
70,211573
71,211710
72,211844
73,213991
74,218691
75,220073
76,224747
77,226404
78,231042
79,232595
80,250990
81,251131
82,251248
83,251408
84,251545
85,251657
86,253371
87,258074
88,259304
89,264071
90,265291
91,270071
92,270906
93,289143
94,289270
95,289407
96,289550
97,289655
98,289784
99,292085
100,296835
101,298577
102,316889
103,317036
104,317187
